INFO  2019-12-19 12:37:49,673 [4    ] NetCore.StaticFiles.StaticFileMiddleware - Sending file. Request path: '/JavaScript/Order.js'. Physical path: 'D:\InexisProject\5.0.0\aspnet-core\src\Shopping_Card.Web.Mvc\wwwroot\JavaScript\Order.js'
INFO  2019-12-19 12:37:49,678 [4    ] Microsoft.AspNetCore.Hosting.Diagnostics - Request finished in 154.4665ms 200 application/javascript
INFO  2019-12-19 12:37:49,685 [8    ] Microsoft.AspNetCore.Hosting.Diagnostics - Request finished in 132.9619ms 304 application/javascript
INFO  2019-12-19 12:37:49,689 [12   ] c.Infrastructure.ControllerActionInvoker - Route matched with {action = "GetAll", controller = "AbpServiceProxies", area = ""}. Executing controller action with signature Microsoft.AspNetCore.Mvc.ContentResult GetAll(Abp.AspNetCore.Mvc.Proxying.ApiProxyGenerationModel) on controller Abp.AspNetCore.Mvc.Proxying.AbpServiceProxiesController (Abp.AspNetCore).
INFO  2019-12-19 12:37:49,694 [10   ] ft.AspNetCore.Routing.EndpointMiddleware - Executing endpoint 'Abp.AspNetCore.Mvc.Controllers.AbpScriptsController.GetScripts (Abp.AspNetCore)'
INFO  2019-12-19 12:37:49,707 [10   ] c.Infrastructure.ControllerActionInvoker - Route matched with {action = "GetScripts", controller = "AbpScripts", area = ""}. Executing controller action with signature System.Threading.Tasks.Task`1[Microsoft.AspNetCore.Mvc.ActionResult] GetScripts(System.String, Boolean) on controller Abp.AspNetCore.Mvc.Controllers.AbpScriptsController (Abp.AspNetCore).
INFO  2019-12-19 12:37:49,724 [12   ] Mvc.Infrastructure.ContentResultExecutor - Executing ContentResult with HTTP Response ContentType of application/x-javascript
INFO  2019-12-19 12:37:49,738 [12   ] c.Infrastructure.ControllerActionInvoker - Executed action Abp.AspNetCore.Mvc.Proxying.AbpServiceProxiesController.GetAll (Abp.AspNetCore) in 37.0306ms
WARN  2019-12-19 12:37:49,749 [10   ] naries.DictionaryBasedLocalizationSource - Can not find 'CreateOrder' in localization source 'Shopping_Card'!
WARN  2019-12-19 12:37:49,751 [10   ] naries.DictionaryBasedLocalizationSource - Can not find 'AllOrders' in localization source 'Shopping_Card'!
INFO  2019-12-19 12:37:49,758 [12   ] ft.AspNetCore.Routing.EndpointMiddleware - Executed endpoint 'Abp.AspNetCore.Mvc.Proxying.AbpServiceProxiesController.GetAll (Abp.AspNetCore)'
INFO  2019-12-19 12:37:49,767 [12   ] Microsoft.AspNetCore.Hosting.Diagnostics - Request finished in 195.8887ms 200 application/x-javascript
INFO  2019-12-19 12:37:49,789 [10   ] Mvc.Infrastructure.ContentResultExecutor - Executing ContentResult with HTTP Response ContentType of application/x-javascript; charset=utf-8
INFO  2019-12-19 12:37:49,802 [10   ] c.Infrastructure.ControllerActionInvoker - Executed action Abp.AspNetCore.Mvc.Controllers.AbpScriptsController.GetScripts (Abp.AspNetCore) in 80.1892ms
